"name","latitude","longitude","address","category","priority","planning_status","google_maps_url","notes"
"5 Torri chairlift – Bai de Dones",,,,"lift|mountain|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/5%20Torri%20chairlift%20Bai%20de%20Dones","5 Torri chairlift currently published through 11 Oct 2026, 09:00–17:00, weather dependent. Official webcam: https://5torri.it/EN/p34-Webcam . Official regional forecast: https://meteo.arpa.veneto.it/meteo/bollettini/it/pdf/meteo_dolomiti.pdf"
"Chiesa di Santa Maddalena – Val di Funes",,,,"scenic|west-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Santa%20Maddalena%20Val%20di%20Funes",
"Cortina d'Ampezzo",,,,"base|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Cortina%20d'Ampezzo","East-Dolomites base. Official forecast: https://meteo.arpa.veneto.it/meteo/bollettini/it/pdf/meteo_dolomiti.pdf . Live Tofana/Duca d'Aosta webcams: https://www.impianticortina.it/en/web-cams-weather/"
"Designer Outlet Noventa di Piave","45.6714459","12.5354406","Via Marco Polo, 1, 30020 Noventa di Piave VE, Italy","shopping|outlet|food|transition-stop","A","calendar_anchor","https://www.google.com/maps/place/Designer+Outlet+Noventa+di+Piave/@45.6714459,12.5354406,17z","Friday opening hours 10:00–20:00. On 11 Sep arrive after the 12:00 car pickup, have lunch, shop, complete tax-free paperwork and eat dinner before leaving at closing for Cortina. A4/E70 and A27 route includes tolls."
"GARDENAFLY — Paragliding Tandem Flights","46.5746364","11.6804252","Streda Sacun 39, 39046 Ortisei, Italy","paragliding|experience|west-dolomites","A","calendar_anchor","https://www.google.com/maps/place/GARDENAFLY+-+Paragliding+Tandemflights+in+the+Dolomites/@46.5746364,11.6804252,17z","Plan A for 18 Sep after a shortened Seceda ridge walk: panoramic Seceda-to-Ortisei tandem flight, about 15–20 minutes airborne and 1.5 hours total. Published price €190 per person; optional GoPro photo/video package €25 per person; lift ticket excluded. Confirm two pilots and a mountain rendezvous. Weather fallback: 24 Sep morning."
"La Bauta","45.4359844","12.3273012","San Polo 2867, 30125 Venezia VE, Italy","shopping|venice|mask-shop|handicraft","A","calendar_anchor","https://www.google.com/maps/place/La+Bauta/@45.4359844,12.3273012,17z/data=!3m1!4b1!4m6!3m5!1s0x477eb1c5cb01003b:0xb3f00e3ca4c90999!8m2!3d45.4359844!4d12.3273012!16s%2Fg%2F11c60kg_lk","Primary recommendation. Google Maps 4.8/5 from 334 reviews. Handmade papier-mâché masks; the official catalog includes simple masks around €15–€25. Saved to Google Maps list דולומיטים 2026 — Plan A with an A-priority note."
"La Palafitta – Lago di Braies boathouse",,,,"lake|boat|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/La%20Palafitta%20Lago%20di%20Braies","7–27 Sep 2026: 09:00–17:30; shared boat ride shown as €20 / 45 min."
"Lago di Carezza","46.4092273","11.5750645","39056 Welschnofen / Nova Levante, Bolzano, Italy","lake|scenic|transfer|west-dolomites","A","calendar_anchor","https://www.google.com/maps/place/Lago+di+Carezza/@46.4092273,11.5750645,17z","Plan A stop on the Great Dolomites Road transfer on 17 Sep. Saved in the private Google Maps list with an operational note."
"Lago di Landro / Dürrensee",,,,"lake|scenic-stop|transfer|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/?api=1&query=Lago%20di%20Landro","Natural 15–30 minute photo stop on the 15 Sep return from Braies to Cortina. Google Maps currently estimates about 32 minutes from Braies and 28 minutes onward to Cortina."
"Maneggio Unterlanzin","46.557003","11.5517492",,"horse-riding|experience|alpe-di-siusi","A","calendar_anchor","https://www.google.com/maps/place/Maneggio+Unterlanzin/@46.557003,11.5517492,17z","Plan A for 19 Sep after the Alpe di Siusi walk and lunch. One-hour accompanied ride for beginners or advanced riders, €33 per person, helmet included, no gallop, maximum 90 kg. Current Google Maps driving estimate from Ortisei: 22 minutes / 12.8 km."
"Mont Sëuc / Alpe di Siusi cable car – Ortisei",,,,"lift|mountain|west-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Ortisei%20Alpe%20di%20Siusi%20cable%20car%20Mont%20Seuc","Ortisei–Alpe di Siusi gondola operates 1 May–2 Nov 2026; on 19 Sep the published hours are 08:30–18:00. Verify live status the evening before. Official mountain weather: https://weather.province.bz.it/en/forecasts"
"On the Rocks Bike Rental, Shop, Service & Guiding","46.5719275","11.6775441","Strada Rezia 275/A, 39046 Ortisei, Italy","equipment-rental|e-bike|logistics","A","calendar_anchor","https://www.google.com/maps/place/On+the+Rocks+Bike+Rental,+Shop,+Service+%26+Guiding/@46.5719275,11.6775441,17z","Preferred rental for the 23 Sep self-guided e-bike morning. Published hardtail rate: €55 for 4 hours; helmet about €3. Ask the shop to confirm and preload an easy Rodaval–Vallunga route."
"Ortisei",,,,"base|west-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Ortisei","West-Dolomites base. Official South Tyrol forecast: https://weather.province.bz.it/en/home . Official Dolomites mountain bulletin: https://static-weather.province.bz.it/web-data/pdf-forecast/mountain_bulletin_dolomites_en.pdf"
"P1 – Parcheggio Lago di Braies",,,,"parking|east-dolomites|reservation","A","calendar_anchor","https://www.google.com/maps/search/P1%20Lago%20di%20Braies%20parking","Road regulation and reserved limited parking apply during the September 2026 visit. Official local weather: https://weather.province.bz.it/en/home (select Braies/Prags)."
"Passo Gardena",,,,"scenic-drive|west-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Passo%20Gardena","Plan A scenic morning on 22 Sep. Saved in the private Google Maps list; use only with good visibility and keep the stops short."
"Passo Giau",,,,"scenic-drive|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Passo%20Giau",
"Passo Pordoi","46.4888128","11.8117568","38032 Canazei, Trento, Italy","mountain-pass|scenic-drive|transfer","A","calendar_anchor","https://www.google.com/maps/place/Passo+Pordoi/@46.4888128,11.8117568,15z","Plan A photo stop on the Great Dolomites Road transfer on 17 Sep; drive only with suitable weather and road conditions."
"Piazza San Marco","45.4341668","12.3384717","P.za San Marco, 30100 Venezia VE, Italy","city|venice|landmark","A","calendar_anchor","https://www.google.com/maps/place/%D7%9B%D7%99%D7%9B%D7%A8+%D7%A1%D7%9F+%D7%9E%D7%A8%D7%A7%D7%95%E2%80%AD/@45.4341668,12.3384717,17z",
"Piè Tofana – Duca d'Aosta chairlift",,,,"lift|via-ferrata|mountain|east-dolomites","A","calendar_anchor","https://www.google.com/maps/search/Pi%C3%A8%20Tofana%20Duca%20d%27Aosta%20chairlift","Summer 2026 operation ends 13 Sep. Daily hours 08:30–17:00. Adult return €18. This is the time-critical access lift for Ra Bujela. Live webcam/weather: https://www.impianticortina.it/en/web-cams-weather/ . Official Dolomites bulletin: https://meteo.arpa.veneto.it/meteo/bollettini/it/pdf/meteo_dolomiti.pdf"
"Rialto Bridge",,,,"city|venice|landmark","A","calendar_anchor","https://www.google.com/maps/search/Rialto%20Bridge%20Venice",
"Rifugio Auronzo / Tre Cime parking",,,,"parking|east-dolomites|reservation","A","calendar_anchor","https://www.google.com/maps/search/Rifugio%20Auronzo%20parking%20Tre%20Cime","2026 car parking €40, mandatory online reservation, 12-hour ticket; booking expected to open around end of April."
